cwe,lang,func_name,source,description,func_src_before,func_src_after
cwe-787,c,copy_username,"Wheeler, Secure-Programs-HOWTO §6.2.1; CERT C STR31-C",strcpy into fixed buffer with no length check,"/* VULNERABLE: strcpy does not check destination buffer length */
void copy_username(char *dst, const char *src) {
    strcpy(dst, src);  /* CWE-787: src may be longer than dst */
}","#include <string.h>
/* SECURE: strncpy + explicit NUL-termination */
void copy_username(char *dst, size_t dst_size, const char *src) {
    strncpy(dst, src, dst_size - 1);
    dst[dst_size - 1] = '\0';
}"
cwe-787,c,format_label,"Wheeler, Secure-Programs-HOWTO §6.2.1","sprintf with field-width (minimum, not max) allows overflow","#include <stdio.h>
#define BUFFER_SIZE 64
/* VULNERABLE: %*s specifies minimum width, not maximum */
void format_label(const char *input) {
    char buf[BUFFER_SIZE];
    sprintf(buf, ""%*s"", sizeof(buf)-1, input);  /* WRONG */
}","#include <stdio.h>
#define BUFFER_SIZE 64
/* SECURE: %.*s specifies maximum precision */
void format_label(const char *input) {
    char buf[BUFFER_SIZE];
    sprintf(buf, ""%.*s"", (int)(sizeof(buf)-1), input);  /* RIGHT */
}"
cwe-787,c,read_line,CERT C STR35-C; Wheeler §6.2,gets() reads unbounded input into fixed buffer,"#include <stdio.h>
/* VULNERABLE: gets() never checks buffer length */
void read_line(char *buf) {
    gets(buf);  /* CWE-787: can write past end of buf */
}","#include <stdio.h>
/* SECURE: fgets() limits read to buffer size */
void read_line(char *buf, size_t buf_size) {
    if (fgets(buf, (int)buf_size, stdin) == NULL) {
        buf[0] = '\0';
    }
    /* strip trailing newline if present */
    size_t len = strlen(buf);
    if (len > 0 && buf[len-1] == '\n') buf[len-1] = '\0';
}"
cwe-787,c,append_suffix,CERT C STR31-C,strcat into fixed buffer without remaining-space check,"#include <string.h>
#define MAX 64
/* VULNERABLE: strcat does not check remaining space */
void append_suffix(char *base, const char *suffix) {
    strcat(base, suffix);  /* CWE-787 if base + suffix > MAX */
}","#include <string.h>
#define MAX 64
/* SECURE: strncat limits bytes appended */
void append_suffix(char *base, size_t base_size, const char *suffix) {
    size_t base_len = strlen(base);
    if (base_len >= base_size) return;
    strncat(base, suffix, base_size - base_len - 1);
}"
cwe-787,c,copy_packet_payload,CERT C ARR38-C,memcpy with attacker-controlled length writes past destination,"#include <string.h>
#include <stdint.h>
#define BUF_SIZE 256
/* VULNERABLE: length from untrusted source, no upper-bound check */
void copy_packet_payload(uint8_t *dst, const uint8_t *src, size_t len) {
    memcpy(dst, src, len);  /* CWE-787: len may exceed BUF_SIZE */
}","#include <string.h>
#include <stdint.h>
#define BUF_SIZE 256
/* SECURE: clamp length before copy */
void copy_packet_payload(uint8_t *dst, const uint8_t *src, size_t len) {
    if (len > BUF_SIZE) len = BUF_SIZE;
    memcpy(dst, src, len);
}"
cwe-787,c,build_msg,CERT C STR31-C,snprintf misuse: buffer size passed as precision loses NUL terminator,"#include <stdio.h>
#define BUF 32
/* VULNERABLE: writes BUF chars + NUL = BUF+1 bytes when input == BUF chars */
void build_msg(char *buf, const char *user) {
    snprintf(buf, BUF + 1, ""Hello, %s!"", user);  /* off-by-one */
}","#include <stdio.h>
#define BUF 32
/* SECURE: size argument is the true buffer size */
void build_msg(char *buf, const char *user) {
    snprintf(buf, BUF, ""Hello, %s!"", user);
    buf[BUF - 1] = '\0';  /* guarantee NUL termination */
}"
cwe-125,c,get_element,CERT C ARR30-C,Array subscript from untrusted input without bounds check,"/* VULNERABLE: index from user input, no bounds check */
int get_element(int *arr, int arr_size, int index) {
    return arr[index];  /* CWE-125: index may be negative or >= arr_size */
}","/* SECURE: validate index before access */
int get_element(int *arr, int arr_size, int index) {
    if (index < 0 || index >= arr_size) {
        return -1;  /* or handle error */
    }
    return arr[index];
}"
cwe-125,c,check_prefix,CERT C STR32-C,strncmp called with length from attacker; may read past non-NUL-terminated buffer,"#include <string.h>
/* VULNERABLE: n from attacker; buf may not be NUL-terminated within n bytes */
int check_prefix(const char *buf, size_t n) {
    return strncmp(buf, ""SECRET"", n) == 0;  /* CWE-125 if n > buf size */
}","#include <string.h>
#define PREFIX ""SECRET""
/* SECURE: use known safe length, not attacker-supplied n */
int check_prefix(const char *buf, size_t buf_size) {
    size_t prefix_len = sizeof(PREFIX) - 1;
    if (buf_size < prefix_len) return 0;
    return strncmp(buf, PREFIX, prefix_len) == 0;
}"
cwe-125,c,packet_str_len,CERT C STR31-C; Wheeler §6.2,strlen on non-NUL-terminated buffer reads past end,"#include <string.h>
/* VULNERABLE: buf from network packet, may not be NUL-terminated */
size_t packet_str_len(const char *buf, size_t buf_size) {
    return strlen(buf);  /* CWE-125: reads past buf if no NUL within buf_size */
}","#include <string.h>
/* SECURE: strnlen respects the known buffer limit */
size_t packet_str_len(const char *buf, size_t buf_size) {
    return strnlen(buf, buf_size);
}"
cwe-125,c,find_max,CERT C ARR30-C,Loop reads one element past array end due to wrong comparison,"#define N 8
/* VULNERABLE: off-by-one, reads arr[N] which is out-of-bounds */
int find_max(int arr[N]) {
    int max = arr[0];
    for (int i = 1; i <= N; i++) {   /* should be i < N */
        if (arr[i] > max) max = arr[i];  /* CWE-125 at i == N */
    }
    return max;
}","#define N 8
/* SECURE: strict less-than keeps index in bounds */
int find_max(int arr[N]) {
    int max = arr[0];
    for (int i = 1; i < N; i++) {
        if (arr[i] > max) max = arr[i];
    }
    return max;
}"
cwe-125,c,extract_field,CERT C MEM35-C,memcpy source length from untrusted input reads past source buffer,"#include <string.h>
#include <stdint.h>
/* VULNERABLE: copy_len from header field, no check against src_size */
void extract_field(uint8_t *dst, size_t dst_size,
                   const uint8_t *src, size_t copy_len) {
    memcpy(dst, src, copy_len);  /* CWE-125: copy_len may exceed actual src */
}","#include <string.h>
#include <stdint.h>
/* SECURE: clamp to both dst and src sizes */
void extract_field(uint8_t *dst, size_t dst_size,
                   const uint8_t *src, size_t src_size, size_t copy_len) {
    if (copy_len > src_size) copy_len = src_size;
    if (copy_len > dst_size) copy_len = dst_size;
    memcpy(dst, src, copy_len);
}"
cwe-190,c,safe_dup,"Wheeler, Secure-Programs-HOWTO §6.1 (Timo Sirainen example #3)",Integer overflow: len+1 wraps to 0 in malloc(),"#include <stdlib.h>
#include <string.h>
/* VULNERABLE: if len == SIZE_MAX, len+1 overflows to 0 -> malloc(0) */
char *safe_dup(const char *src, size_t len) {
    char *buf = malloc(len + 1);  /* CWE-190: +1 can overflow */
    if (!buf) return NULL;
    memcpy(buf, src, len);
    buf[len] = '\0';
    return buf;
}","#include <stdlib.h>
#include <string.h>
#include <limits.h>
/* SECURE: check for overflow before addition */
char *safe_dup(const char *src, size_t len) {
    if (len == SIZE_MAX) return NULL;  /* would overflow */
    char *buf = malloc(len + 1);
    if (!buf) return NULL;
    memcpy(buf, src, len);
    buf[len] = '\0';
    return buf;
}"
cwe-190,c,read_data,"Wheeler, Secure-Programs-HOWTO §6.1 (Timo Sirainen example #1)",Signedness error: signed len cast to unsigned in malloc(),"#include <stdlib.h>
/* VULNERABLE: negative len passes the >8000 check, cast to huge size_t */
char *read_data(int fd) {
    int len;
    read(fd, &len, sizeof(len));
    if (len > 8000) return NULL;        /* forgets to check len < 0 */
    char *buf = malloc(len);            /* CWE-190: negative len -> huge size */
    if (!buf) return NULL;
    read(fd, buf, len);
    return buf;
}","#include <stdlib.h>
/* SECURE: reject non-positive and too-large lengths */
char *read_data(int fd) {
    int len;
    if (read(fd, &len, sizeof(len)) != sizeof(len)) return NULL;
    if (len <= 0 || len > 8000) return NULL;  /* reject negative AND too large */
    char *buf = malloc((size_t)len);
    if (!buf) return NULL;
    if (read(fd, buf, (size_t)len) != len) { free(buf); return NULL; }
    return buf;
}"
